"","X1","plot","mean.height.mean","height.2","mean.height.median","mean.height.var","mean.height.rms","transect.length","can.max.ht","moch","can.max.ht.median","vai.mean","vai.sd","vai.median","vai.column.max","vai.max.ht.mean","vai.max.ht.sd","vai.max.ht.median","vai.max","vai.mean.peak","vai.peak.sd","vai.peak.median","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","mean.return.ht","sd.return.ht","median.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl","mean.intensity","median.intensity","sd.intensity","max.intensity","min.intensity","skew.intensity","kurtosis.intensity","p10","p25","p50","p75","p90"
"1",1,"ARNO_01_1.CSV",14.4270527196053,6.69768235635201,14.7234643529591,44.8589489465891,15.8706435092342,40,32.303,20.91895,23.3795,7.74500774444649,0.695463374130294,8,8,14.15,8.92863443201214,15,6.46340592520022,3.42443962665256,1.28650571224936,3.14499026402486,0,0,0.771212121212121,2390.88011092276,27.5678009794146,40.3843591020353,8.21141177140004,10.2704143064228,7.06567135644003,7.9625,0.548932630995291,99.4510673690047,32.303,451,6.65,0.970974094472415,28.0627692307692,82.9243421052632,86,17.9975470438343,130,9,-0.917861632062408,4.00897669718614,2.026,4.642,7.95,14.767,20.643
"2",1,"ARNO_01_2.CSV",18.586104845512,7.72535515191854,21.011811023622,59.6811122232743,20.0906042155545,40,32.401,23.748325,27.6335,7.42065304599613,1.23114760050376,8,8,18.575,9.36958390560128,22,6.54752034837859,3.19132083731055,1.34869827888061,3.09738846399967,0,0,0.746969696969697,1745.21398789542,27.1341518558718,31.764001494741,8.89372648783313,13.8174733989277,9.0958295864562,14.275,1.50873324435675,98.4912667556433,32.401,430.95,7.35,0.893379708425679,22.4278246883796,80.2226477346374,84,17.3995308203281,127,10,-0.871148767404325,3.78922956304443,2.511,4.26325,14.271,21.879,24.4045
"3",1,"ARNO_01_3.CSV",10.4895118725875,6.05034764415131,8.95462597622335,36.6067066150873,12.0790906863033,50,31.303,15.52466,15.8315,7.70745640321397,0.94955068940215,8,8,9.74,6.88034764190512,7,7.82373727065528,3.74473292929679,1.49051550365274,3.59419902577474,0,0,0.80875,1533.92227086975,21.6975164112531,32.6058285043205,8.73048462457841,7.46199774489852,6.50258136905768,4.566,1.72432432432432,98.2756756756757,31.303,370.12,8.02,0.907450822065658,19.7460986925348,80.0631428414279,81,19.1020240260864,136,6,-0.631895764612381,3.71995259856599,1.902,2.766,4.566,9.76,19.2504
"4",1,"ARNO_01_4.CSV",15.5257829688624,5.83520555082261,13.3626121328155,34.049623820351,16.5714555009249,70,34.928,19.7532285714286,23.366,7.94043284722643,0.296343806233918,8,8,14.3,6.99554723802365,11,8,4.86970078343104,2.12436034682712,4.29767357780617,0,0,0.86031746031746,1200.96651143966,21.287711253252,27.3459295149722,7.94874470478078,12.1650289184152,7.63637448591587,11.211,0.269816524763156,99.7301834752368,34.928,238.371428571429,5.04285714285714,0.946262078065408,22.9112426035503,82.1903444958817,86,17.8955425478294,128,9,-1.08407923064026,4.34352200610866,2.794,4.786,11.209,19.727,22.606
"5",1,"ARNO_01_5.CSV",21.130277184121,4.96248586630183,22.2266722998566,24.6262659732454,21.6909940574815,40,32.703,24.42765,25.9705,7.92105021522157,0.437750410365536,8,8,21.375,5.65090190214733,23,5.86289555242613,3.32565272879593,1.01022961361262,3.19141851188692,0,0,0.775735294117647,401.194192405753,13.9073946754897,14.414526206085,5.55640170664802,17.0719769801347,6.65106729755496,19.195,1.22115546572343,98.7788445342766,32.703,296.975,5.5,0.901307488462955,21.4590542099193,87.7370619831188,90,15.5388082445417,129,11,-1.49314606519603,6.57928973754742,7.3161,10.57025,19.1945,22.31,24.4234
"6",1,"ARNO_01_6_lastpart.CSV",8.08296522723711,3.5404132400272,8.39164348747168,12.5345259101599,8.75302234567399,10,14.413,10.1798,11.06,7.93652664140306,0.200720383906951,8,8,7.2,4.5898438608156,8,7.29261809124293,4.58210186332404,1.54256155934494,4.30931383746687,0,0,0.666666666666667,44.4353966271096,5.23549614308045,4.12613339131194,3.95447239913943,5.71278971549744,3.75478082537682,6.382,6.02789770840252,93.9721022915975,25.967,602.4,3.9,0.916991073736709,11.6822429906542,74.5060964834776,83,25.1507105891143,132,10,-0.754894936727626,2.58782003245247,1.208,1.713,6.374,8.598,10.329
"7",1,"ARNO_02_1.CSV",16.3191157510417,5.58510224168522,17.028698237012,31.1933670500773,17.2257676685169,40,29.443,20.7672,21.6595,7.48080242714523,1.35197986035073,8,8,16.525,7.36236967147719,17,8,3.71963333579837,1.57845679002549,3.21386465569259,0,0,0.754166666666667,842.353415644091,20.2305296699316,20.8105522492342,6.50482032389472,12.1540621181263,6.5658196700337,13.389,2.46186590989713,97.5381340901029,29.443,352.5,5.475,0.927230544929993,22.2741233683133,90.8872563281932,95,21.6375999416881,137,10,-0.734895353277048,3.24117492668915,2.114,7.044,13.387,15.492,20.4452
"8",1,"ARNO_02_2.CSV",20.6064367024688,7.36449278352545,23.3806870987384,54.2357539585985,21.8518899338819,40,31.452,25.4796,27.4015,7.3160053763006,1.31041259668485,8,8,21.35,8.83335752294704,24,6.57571150795159,3.09904583647602,1.31501184920948,2.91182757332194,0,0,0.734375,1699.9343967256,24.2759987776951,33.3258200209828,6.41680372867269,16.9875251174557,8.9335572933813,20.062,2.40547404063205,97.594525959368,31.452,354.525,4.25,0.88898017584647,20.9117221418234,80.9848211058909,84,18.0612398809367,122,6,-0.946192790976482,3.85543738288572,2.019,10.561,20.062,23.736,25.9271
"9",1,"ARNO_02_3.CSV",15.4026594759321,4.4080036566585,14.8067998041801,19.4304962371147,16.0058318360124,40,30.054,19.524625,18.439,7.5849134864324,1.05053272710095,8,8,15.575,5.36315779540949,15.5,7.54104853718228,3.69469894158799,1.48358961168172,3.34029330973519,0,0,0.75241935483871,494.613538834372,13.0496645411894,18.0088809812491,6.65917407940893,12.7494307315668,6.49268520325069,11.531,1.69875424688561,98.3012457531144,30.676,353.325,5.475,0.946680063154494,24.0615266785805,91.1997407834101,94,18.6303807411599,140,11,-1.03794841872197,4.54858427848472,4.8732,7.302,11.527,17.266,22.234
"10",1,"ARNO_02_4.CSV",14.6779938986871,7.52250856003746,14.7634503999557,56.5881350358368,16.4504387950546,40,31.7,18.23605,21.625,7.92101936151097,0.326256693370936,8,8,15.05,8.07004591223873,15,7.98510614370923,3.72260293897522,1.72402732154165,3.3568576263324,0,0,0.768939393939394,652.785587801688,17.2396077503405,18.8568691042836,9.11690618899714,10.7801251587576,8.34693984988568,8.356,0.350917563136399,99.6490824368636,31.807,434.7,7.75,0.955838455559503,26.0355443604814,80.689931878536,83,17.1545133854431,126,9,-0.738254746997526,3.72450484023215,2.386,3.432,8.355,17.9015,23.75
