,siteID,transect,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90,projectID,plotID,year,description,disturbance,yearOfDisturbance,management,standAge,pft,notes,siteName,latitude,longitude,mat,map,xmin,ymin,xmax,ymax
43,ARNO,ARNO_03_2.CSV,6.099800045,3.940769904,4.417348879,15.52966743,7.235259936,40,21.772,9.08065,7.78,7.226433445,1.404515895,8,8,5.8,4.586490754,4,7.866620086,3.800846256,1.371656853,3.672206629,0,0,0.760869565,156.5514407,6.285328271,10.81878409,5.544658088,3.888348634,3.554446726,2.3365,2.06284658,97.93715342,21.772,338.25,5.95,0.804633988,12.03381402,75.4479843,73,18.27986299,132,12,0.009809924,2.730815033,1.262,1.753,2.336,4.86,10.143,ARNO-EAGERNEON,ARNO_03,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
29,ARNO,ARNO_02_5.CSV,17.02941399,6.788573166,17.50451574,46.08472562,18.30118981,40,32.881,23.0282,24.6175,7.403434895,1.55640955,8,8,17.3,7.656738276,19,7.847751777,3.504259943,1.580399013,2.964981034,0,0,0.781617647,1168.810513,23.54651266,24.78653374,8.061421562,12.85263175,8.203981224,12.126,3.170496932,96.82950307,32.881,415.675,7.275,0.965001807,27.6084507,83.89419074,87,17.04821926,131,9,-0.893298988,4.040065452,2.73,5.463,12.118,19.5135,24.4662,ARNO-EAGERNEON,ARNO_02,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
2,ARNO,ARNO_01_3.CSV,10.48951187,6.050347644,8.954625976,36.60670662,12.07909069,50,31.303,15.52466,15.8315,7.707456403,0.949550689,8,8,9.74,6.880347642,7,7.823737271,3.744732929,1.490515504,3.594199026,0,0,0.80875,1533.922271,21.69751641,32.6058285,8.730484625,7.461997745,6.502581369,4.566,1.724324324,98.27567568,31.303,370.12,8.02,0.907450822,19.74609869,80.06314284,81,19.10202403,136,6,-0.631895765,3.719952599,1.902,2.766,4.566,9.76,19.2504,ARNO-EAGERNEON,ARNO_01,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
25,ARNO,ARNO_06_2.CSV,5.161653736,2.813565247,4.509245355,7.916149397,5.8618184,40,27.117,10.239525,7.4585,7.424318726,1.137988643,8,8,4.875,3.673798426,4,7.770323483,3.698470205,1.430664047,3.32926721,0,0,0.788392857,229.1316312,7.365932792,13.2240185,6.662280756,3.441008324,2.337544773,2.867,1.296330108,98.70366989,27.117,410.9,5.575,0.5894682,9.454468945,66.12455297,65,13.64059682,110,7,0.025539475,3.099845681,1.5384,2.037,2.867,4.2555,5.327,ARNO-EAGERNEON,ARNO_06,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
53,ARNO,ARNO_36_4.CSV,6.703155943,2.986628579,5.916199758,8.919950266,7.323199513,40,20.789,8.509025,7.333,7.915308524,0.496445652,8,8,6.675,4.109947283,6,7.686271383,4.171873745,1.391490025,4.143324127,0,0,0.751136364,105.4417519,4.731584393,9.113389109,4.522600951,4.327197063,2.61558309,3.747,0.342604959,99.65739504,20.789,430.65,4.625,0.698530104,9.597958775,91.42640718,93,16.01880624,145,20,-0.171805821,3.170663604,2.061,2.652,3.745,5.047,6.865,ARNO-EAGERNEON,ARNO_36,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
60,ARNO,ARNO_35_5.CSV,5.859035067,2.884936614,5.399436076,8.322859268,6.514835355,40,25.243,8.36345,6.0865,7.937775412,0.235416009,8,8,5.9,4.980989501,5,7.548084889,4.269203496,1.422363903,4.092112953,0,0,0.825,318.0747999,8.289954797,15.79086601,5.157647874,3.4223973,2.360134564,2.7265,0.616179686,99.38382031,25.243,251.675,4.9,0.73901847,8.942764579,75.2362,73,15.34478269,121,13,-0.081062892,3.233138027,1.733,1.991,2.726,4.323,5.749,ARNO-EAGERNEON,ARNO_35,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
15,ARNO,ARNO_02_3.CSV,15.40265948,4.408003657,14.8067998,19.43049624,16.00583184,40,30.054,19.524625,18.439,7.584913486,1.050532727,8,8,15.575,5.363157795,15.5,7.541048537,3.694698942,1.483589612,3.34029331,0,0,0.752419355,494.6135388,13.04966454,18.00888098,6.659174079,12.74943073,6.492685203,11.531,1.698754247,98.30124575,30.676,353.325,5.475,0.946680063,24.06152668,91.19974078,94,18.63038074,140,11,-1.037948419,4.548584278,4.8732,7.302,11.527,17.266,22.234,ARNO-EAGERNEON,ARNO_02,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
27,ARNO,ARNO_36_6.CSV,6.959449611,2.869140621,6.714825566,8.231967901,7.513994117,40,20.243,9.743575,9.4225,7.841339102,0.611461245,8,8,7.125,3.729215907,6,7.531399189,4.16279703,1.638254377,3.819512851,0,0,0.720238095,119.060066,7.52116235,7.90519974,4.963276099,4.165700125,2.671827605,3.39,0.472460525,99.52753948,20.243,402.275,4.9,0.827377487,12.68665288,78.72998126,78,17.55945383,131,10,-0.257239921,3.005174379,1.486,2.44,3.39,5.002,8.0066,ARNO-EAGERNEON,ARNO_36,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
20,ARNO,ARNO_12_1.CSV,15.22115763,6.682860312,17.74213665,44.66062195,16.59671802,50,28.561,18.48764,20.5445,7.380739689,1.450867141,8,8,15.3,7.675165358,18,7.52574932,3.447523715,1.731497601,2.960655337,0,0,0.774,504.8264651,12.92302386,18.37993252,7.112754031,11.59817834,7.554994528,12.759,2.19364232,97.80635768,28.561,412.22,5.06,0.935834123,21.81078003,98.18399246,105,20.64812979,140,8,-0.969828828,3.611677718,1.872,3.4205,12.752,17.65,21.037,ARNO-EAGERNEON,ARNO_12,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
42,ARNO,ARNO_05_1.CSV,7.64139259,3.627631804,7.028682232,13.1597125,8.443186542,50,25.127,10.55882,9.277,7.524581776,1.248781572,8,8,7.18,4.897687918,5.5,7.412853171,4.085014003,1.335626635,3.953467464,0,0,0.797692308,389.313723,9.703528484,17.18008318,5.382969625,5.304810485,3.589897242,4.389,1.847353618,98.15264638,25.127,313,5.26,0.870335179,13.60255654,87.88192771,92,20.73251956,142,13,-0.771821766,3.39764918,1.581,2.168,4.386,7.546,10.01,ARNO-EAGERNEON,ARNO_05,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
40,ARNO,ARNO_06_4.CSV,7.298965342,4.219855362,5.805642814,17.80717927,8.404575828,40,26.217,14.634325,14.4605,7.644624391,0.685688825,8,8,7.075,6.378600039,4.5,7.408137965,3.601699276,1.29168122,3.314231551,0,0,0.773148148,1436.22006,23.01327427,30.10995296,8.376685815,3.765657344,3.154180469,2.721,0.643394935,99.35660507,26.217,365.375,7.7,0.748354488,12.94479189,70.05359603,69,15.48568906,121,10,-0.148188863,3.131049212,1.41,1.813,2.721,4.245,7.337,ARNO-EAGERNEON,ARNO_06,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
35,ARNO,ARNO_05_5.CSV,7.601543465,4.327565913,6.234662766,18.72782673,8.720269153,40,23.345,10.6111,8.5425,7.407245991,1.380405748,8,8,7.45,4.803577726,6,7.406321561,3.695684546,1.391851694,3.704519577,0,0,0.765625,196.9708878,7.665097347,11.75657988,6.139887716,5.058047493,4.396326119,3.422,1.774815854,98.22518415,23.345,356.5,4.5,0.804244602,12.65308673,81.65626339,80,17.76663595,131,8,-0.105096722,2.727966108,1.7056,2.415,3.422,5.8855,11.5848,ARNO-EAGERNEON,ARNO_05,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
7,ARNO,ARNO_11_4.CSV,8.53181615,6.24877283,5.83217366,39.04716188,10.52914382,40,27.151,13.3421,14.658,7.628585224,0.968870098,8,8,7.975,7.318706275,4,7.382215123,3.82761911,1.32099769,3.675742574,0,0,0.791964286,478.604974,14.18335586,16.65645192,8.313757103,5.620069802,5.754458508,2.862,0.987324033,99.01267597,27.151,392.6,6.75,0.83295799,15.54222731,77.09958827,75,18.48872198,131,11,-0.103763614,3.046785385,1.557,2.114,2.862,5.607,17.5544,ARNO-EAGERNEON,ARNO_11,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
22,ARNO,ARNO_12_3.CSV,14.3268941,8.077404862,15.40526164,65.24446931,16.39735504,40,30.015,16.552025,16.541,7.77760935,0.986395281,8,8,14.85,8.627772687,15,7.348258483,3.577613638,1.348340859,3.572047574,0,0,0.77983871,427.749949,11.20240913,17.3855106,9.354759078,11.05943361,7.880833867,7.786,1.056518035,98.94348197,30.015,440.25,4.4,0.952809581,23.83402622,94.58401745,98,16.47929314,134,13,-0.932504896,4.285781493,2.3863,3.639,7.785,16.422,22.605,ARNO-EAGERNEON,ARNO_12,2016,control,,NA,unmanaged,NA,BDF,,"Arnot Experimental Forest, NY, USA",42.264,-76.627,NA,990,NA,NA,NA,NA
