siteID,siteName,latitude,longitude,mat,map,pft.x,ymin,xmax,ymax,transect,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,lad.mean,lad.sd,lad.median,lad.column.max,lad.max.ht.mean,lad.max.ht.sd,lad.max.ht.median,lad.max,lad.mean.peak,lad.peak.sd,lad.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.return.ht,sky.fraction,canopy.cover,max.ht,scan.density,rumple,gap.variables,enl,fhd,entropy,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90,projectID,plotID,year,description,disturbance,yearOfDisturbance,management,standAge,pft.y,notes
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_60R3T2SN.CSV,10.34145995,2.77606336,9.89515286,7.70652778,10.70038276,50,23.495,13.24934,12.6215,4.050949263,1.512417827,4.169623677,6.198478716,10.36,3.361000823,10,4.59511985,2.137237715,1.00841404,1.923749297,0,0,0.730833333,42.20375242,4.078180602,5.056895826,3.755952531,8.335012149,2.880347389,8.19,1.33963751,98.66036249,23.495,482.34,4,0.793664263,12.18905473,2.545950622,8.037025436,1.272470434,100.2105263,102,14.00575779,147,19,-1.032003816,6.111772876,5.296,6.251,8.189,9.821,11.999,AGEF-Fahey2019,60R3T2SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R2T2SN.CSV,10.03763964,4.615353662,9.485316993,21.30148942,11.02858419,50,25.837,13.75786,13.0505,3.347821497,1.868531661,3.646345286,6.204557763,9.34,5.129387122,8.5,4.244405257,1.694684276,1.047477169,1.634097475,1,0.02,0.788888889,383.8858256,10.10661218,16.78517846,6.179851768,7.656338761,4.53506545,6.311,16.62332696,83.37667304,25.837,523.12,5.3,0.909497468,16.093259,2.889849076,9.397233109,1.687389705,89.87189836,93,17.72016578,138,3,-0.926526023,4.461976154,2.964,4.745,6.311,9.711,14.1928,AGEF-Fahey2019,75R2T2SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_60R1T1NS.CSV,7.901301445,3.260350179,7.702335401,10.62988329,8.535095205,50,21.243,10.3349,10.5825,4.291049433,1.342499355,4.522477296,6.293419279,7.9,3.934411244,8,4.543294782,2.175261402,0.88207477,2.06972574,0,0,0.707272727,67.76088332,4.447261645,6.926958003,4.186473794,5.721316334,3.262940103,4.864,0.294227342,99.70577266,21.243,482.74,3.66,0.863095458,13.1749503,2.611637724,7.981236522,1.718555348,89.68491272,92,17.42163768,137,9,-0.609157064,3.305709042,1.996,2.973,4.862,8.171,10.1955,AGEF-Fahey2019,60R1T1NS,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R3T1SN.CSV,8.958832178,3.798541652,8.329141728,14.42891868,9.716018438,50,24.176,12.66922,11.5535,3.745978286,1.90966213,4.073437287,6.124683391,8.38,3.911730136,8,5.66296048,1.875889612,1.232939163,1.574279866,0,0,0.744,118.6638999,6.569053666,8.689731518,5.564962157,6.771276926,3.730299258,6.6085,10.27556231,89.72443769,24.176,474.06,5.64,0.89825369,16.01961586,2.79339303,8.897963554,1.714984288,92.92498354,97,20.09989556,147,8,-0.82482532,3.76201752,2.334,3.767,6.606,9.064,11.6993,AGEF-Fahey2019,75R3T1SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R1T2NS.CSV,8.210475145,3.703820577,8.540442188,13.71828687,8.991986613,50,24.004,11.75402,11.602,2.855100832,1.94979954,2.900537408,6.308098442,7.86,4.194311016,7,5.105945474,1.63187483,1.252414211,1.47818971,2,0.04,0.7752,102.0676823,6.157774383,8.009338106,5.678952348,6.000371739,3.469409738,6.441,19.66289875,80.33710125,24.004,497.3,6.18,0.894086516,14.91008619,2.540593611,8.074566655,1.35571891,79.85008262,82,16.15629277,123,8,-0.693157502,3.59840484,1.833,3.104,6.44,7.625,10.5142,AGEF-Fahey2019,75R1T2NS,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R3T3SN.CSV,9.349225327,3.031848629,9.238066952,9.192106107,9.8191791,50,22.669,13.26882,12.145,4.031055506,1.792045142,4.590014804,6.208590026,8.4,3.219836477,8,5.313205979,1.835129565,1.107543271,1.674276824,0,0,0.688333333,282.628868,8.796544382,14.32653744,5.102383423,6.925760672,3.195630793,6.713,5.988124816,94.01187518,22.669,475.06,5.56,0.781369535,13.15829205,2.673336097,8.343477553,1.582191203,93.48819709,98,18.36216875,142,2,-1.019664304,4.290456769,3.209,4.706,6.713,8.772,10.825,AGEF-Fahey2019,75R3T3SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_90R1T1SN.CSV,8.078179664,3.422282354,7.127294673,11.71201651,8.759838061,50,25.177,13.24194,13.6565,3.816298803,1.572152299,4.214472343,6.32256524,7.58,4.449673228,6,3.908014984,1.72608365,0.871334749,1.799621128,0,0,0.74,419.7792909,11.68306287,16.83108235,5.579383539,5.517126206,3.632205343,4.763,6.519716886,93.48028311,25.177,494.62,6.88,0.850884931,14.79937598,2.709954989,8.742127479,1.521617449,83.06870592,84,17.29162009,138,2,-0.528084286,3.627730985,1.932,2.714,4.762,7.262,10.417,AGEF-Fahey2019,90R1T1SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_60R2T3SN.CSV,10.37882287,3.312812342,9.76942653,10.97472561,10.88463115,50,22.643,14.69394,14.7835,4.337944027,1.721174707,4.513401038,6.276643489,10.26,4.471268824,9,5.293304825,2.000480554,1.1294948,1.824947004,0,0,0.686666667,177.435876,9.290319783,9.545985248,4.613387274,7.470256928,3.665590603,6.8035,5.791569183,94.20843082,22.643,487.38,4.04,0.845888548,14.7026071,2.756545596,8.600010854,1.642770484,96.0650488,99,17.25681714,143,8,-0.923856788,4.618028565,3.5167,5.0495,6.803,8.77875,12.8233,AGEF-Fahey2019,60R2T3SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R3T2SN.CSV,11.397411,4.973082886,11.54454852,24.7315534,12.41522854,50,28.356,17.12594,18.616,4.58782646,1.406689772,5.002811436,6.144185634,11.8,6.487035737,11,4.571268634,2.110684749,0.857149445,1.862672072,0,0,0.726896552,571.8765022,15.88941771,17.87184677,6.258796952,7.841953983,4.731168278,6.6,0.31932338,99.68067662,28.356,463.6,6.46,0.930827633,20.75831334,3.046119154,10.18877707,1.672147718,89.4295671,93,19.64970563,142,4,-0.876337659,3.948224086,2.7985,4.632,6.5985,10.56875,13.8765,AGEF-Fahey2019,75R3T2SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_ContR3T2SN.CSV,9.1640041,4.754368135,7.370506548,22.60401636,10.30198559,50,26.484,13.91712,13.1215,3.568018312,1.849942191,3.706532861,6.342121419,9.48,6.630910917,6,4.605170186,1.844382191,1.035134664,1.659087331,0,0,0.781481481,1008.493171,18.86440679,25.54657174,7.633439813,6.445736277,4.722042025,4.94,7.594528066,92.40547193,26.484,495.74,6.26,0.82887613,13.43278422,2.776585657,9.097596126,1.454105436,90.3039434,92,19.92513343,148,7,-0.797467163,4.099210696,2.732,3.704,4.94,6.77,11.272,AGEF-Fahey2019,ContR3T2S,2019,,,NA,,NA,DBF,
